종목명,섹터
CJ제일제당,식품
JYP Ent.,엔터테인먼트
레드와이어,항공우주
사조대림,식품
삼아알미늄,금속철강
서흥,제약바이오
성광벤드,기계
신세계인터내셔날,섬유의류
실리콘투,화장품
심텍,반도체소재
영원무역,섬유의류
유한양행,제약바이오
종근당,제약바이오
한국단자,전기전자
한국콜마,화장품
