id,날짜,종목명,구분,수량,단가,통화,환율,실현손익,메모,정산반영
a05937f9,2026-08-18,레드와이어,매수,40.0,13.15,USD,1413.5,,나스닥 매매일지,True
f9f2a356,2026-08-19,레드와이어,매수,20.0,13.7865,USD,1390.0,,나스닥 매매일지,True
f0d40de9,2026-08-20,레드와이어,매수,8.0,12.85,USD,1394.8,,나스닥 매매일지,True
3e6b9354,2026-08-21,레드와이어,매수,4.0,12.41,USD,1387.0,,나스닥 매매일지,True
114615f4,2026-08-24,레드와이어,매수,2.0,12.26,USD,1384.0,,나스닥 매매일지,True
f503e5b7,2026-08-25,레드와이어,매수,2.0,11.78,USD,1383.5,,나스닥 매매일지,True
8b7f299c,2026-08-26,레드와이어,매수,3.0,11.8133,USD,1386.0,,나스닥 매매일지,True
fda721f1,2026-09-02,레드와이어,매수,8.0,10.902513,USD,1410.25,,나스닥 잔고 스냅샷(NASDAQ.csv 역산),True
