날짜,국내주식평가
2026-08-14,391000.0
2026-08-18,1162530.0
2026-08-19,1376720.0
2026-08-20,1596140.0
2026-08-21,1631920.0
2026-08-24,1596420.0
2026-08-25,1841555.0
2026-08-26,2233710.0
2026-08-27,2219340.0
2026-08-28,2682070.0
2026-08-31,2780995.0
2026-09-01,2822120.0
2026-09-02,3195360.0
2026-09-03,3436940.0
2026-09-04,3555290.0
